State,Date,Time,Cumulative case count,Cumulative deaths,Tests conducted (negative),Tests conducted (total),Hospitalisations (count),Intensive care (count),Ventilator usage (count),Recovered (cumulative),Update Source,Notes
ACT,23/06/2020,12:00,108,,26372,,0,0,0,105,https://www.covid19.act.gov.au/,
NSW,23/06/2020,20:00,3159,,,756240,47,0,0,2771,media release,
NT,23/06/2020,08:30,29,,,11566,0,0,0,29,https://coronavirus.nt.gov.au/current-status,
QLD,23/06/2020,12:00,1066,,,327530,1,0,0,1053,https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/statistics,
SA,23/06/2020,15:00,440,,,139000,0,0,0,436,media release,
TAS,23/06/2020,18:00,228,,,45440,0,0,0,213,National/ https://coronavirus.tas.gov.au/facts/cases-and-testing-updates,
VIC,23/06/2020,14:16,1864,,,675000,9,3,0,1712,media release,
WA,23/06/2020,14:39,607,,,164147,0,0,0,594,media release,
NSW,24/06/2020,20:00,3162,51,,773415,54,0,0,2776,media release,
SA,24/06/2020,15:00,440,,,141000,0,0,0,436,media release,
VIC,24/06/2020,09:30,1884,20,,696000,7,2,0,1721,media release,
WA,24/06/2020,15:00,607,,,167201,0,0,0,594,media release,
NSW,25/06/2020,20:00,3168,,,788693,57,1,0,2782,media release,
QLD,25/06/2020,12:00,1066,,,340581,1,0,0,1054,https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/statistics,
VIC,25/06/2020,16:15,1917,,,716000,7,2,0,1732,media release,
WA,25/06/2020,15:40,608,,,171195,0,0,0,595,media release,
NSW,26/06/2020,20:00,3174,,,810000,58,0,0,2784,media release,
QLD,26/06/2020,12:00,1067,,,347610,2,0,0,1054,https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/statistics,
VIC,26/06/2020,12:50,1947,,,736000,6,1,0,1742,media release,
WA,26/06/2020,13:47,608,,,174330,0,0,0,595,media release,
NSW,27/06/2020,20:00,3177,,,830541,49,0,0,2784,media release,
VIC,27/06/2020,15:20,1987,,,758000,5,1,0,1761,media release,
WA,27/06/2020,14:00,608,,,,0,0,0,,media release,
NSW,28/06/2020,20:00,3184,,,842374,53,0,0,2784,media release,
VIC,28/06/2020,14:15,2028,,,776000,7,1,0,1775,media release,
WA,28/06/2020,11:10,609,,,,0,0,0,595,media release,
NSW,29/06/2020,20:00,3189,,,855324,56,0,0,2784,media release,
SA,29/06/2020,15:15,443,,,149000,0,0,0,436,media release,
VIC,29/06/2020,16:30,2099,,,792000,9,1,0,1789,media release,
WA,29/06/2020,15:15,609,,,179326,0,0,0,596,media release,
NSW,30/06/2020,20:00,3203,,,871567,63,1,0,2787,media release,
VIC,30/06/2020,14:00,2159,,,809000,9,1,0,1816,media release,
WA,30/06/2020,14:30,611,,,182513,0,0,0,598,media release,
ACT,01/07/2020,15:31,108,,,30224,0,0,0,105,https://www.covid19.act.gov.au/,
NSW,01/07/2020,20:00,3211,,,889914,68,1,0,2787,press conference,
QLD,01/07/2020,12:00,1067,,,370973,1,0,0,1054,https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/statistics,
VIC,01/07/2020,15:00,2231,,,830000,15,2,0,1839,media release,
WA,01/07/2020,15:29,611,,,185850,0,0,0,598,media release,
NSW,02/07/2020,20:00,3211,,,907762,67,1,0,2789,press conference,
NT,02/07/2020,09:00,30,,,13604,0,0,0,29,https://coronavirus.nt.gov.au/current-status,
VIC,02/07/2020,14:25,2303,,,856320,20,4,0,1866,press conference,
NSW,03/07/2020,11:00,3216,,,900000,63,1,0,2788,media release,
VIC,03/07/2020,11:00,2368,,,880320,23,6,0,1904,press conference,
WA,03/07/2020,14:00,611,,,191213,0,0,0,598,media release,
ACT,04/07/2020,17:00,108,,,31908,0,0,0,105,https://www.covid19.act.gov.au/,
NSW,04/07/2020,20:00,3230,,,942432,69,1,0,2799,media release,
NT,04/07/2020,17:30,31,,,13959,0,0,0,30,https://coronavirus.nt.gov.au/current-status,
QLD,04/07/2020,17:00,1067,,,386727,0,0,0,0,https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/statistics,
VIC,04/07/2020,17:30,2469,,,906500,25,3,0,1938,media release,
WA,04/07/2020,14:45,612,,,191213,0,0,0,598,media release,
NSW,05/07/2020,20:00,3240,,,953987,69,1,0,2799,media release,
VIC,05/07/2020,15:28,2536,21,,928100,26,3,0,1971,media release,
WA,05/07/2020,14:58,618,,,,0,0,0,600,media release,
NSW,06/07/2020,20:00,3244,,,963733,67,1,0,2798,media release,
SA,06/07/2020,16:30,443,,,161999,0,0,0,436,media release,
VIC,06/07/2020,15:30,2660,22,,952000,31,5,0,1992,media release,
WA,06/07/2020,17:00,621,,,196108,0,0,0,600,media release,
NSW,07/07/2020,20:00,3251,,,979060,69,1,0,2797,media release,
QLD,07/07/2020,14:00,1068,,,395027,1,0,0,1055,media release,
VIC,07/07/2020,13:00,2824,,,979000,35,9,0,2028,media release,
ACT,08/07/2020,14:10,111,,,33115,0,0,0,105,media release,
NSW,08/07/2020,14:00,3251,,,979060,69,1,0,2797,media release,
NSW,08/07/2020,20:00,3264,,,997736,74,1,0,2797,media release,
VIC,08/07/2020,14:00,2942,,,1008000,41,7,0,2058,media release,
WA,08/07/2020,14:30,624,,,200887,0,0,0,,media release,
ACT,09/07/2020,14:10,112,,33740,,0,0,0,105,media release,
NSW,09/07/2020,20:00,3278,,,1007662,77,1,0,2798,media release,
VIC,09/07/2020,14:15,3098,,,1030000,40,9,0,2142,media release,
WA,09/07/2020,16:50,627,,,203091,0,0,0,602,media release,
ACT,10/07/2020,13:40,113,,,34801,0,0,0,105,media release,
NSW,10/07/2020,20:00,3285,,,1024110,76,1,0,2799,media release,
NT,10/07/2020,09:00,32,,,15784,0,0,0,30,https://coronavirus.nt.gov.au/current-status,
VIC,10/07/2020,17:00,3379,,,1068000,47,12,0,2183,media release,
ACT,11/07/2020,13:40,113,,,35872,0,0,0,105,media release,
NSW,11/07/2020,20:00,3289,,,1039385,,,,2799,media release,
QLD,11/07/2020,13:40,1070,,,417970,1,0,0,1058,media release,
VIC,11/07/2020,13:40,3560,23,,1095000,49,15,0,2286,media release,
WA,11/07/2020,14:10,634,,,,0,0,0,,media release,
ACT,12/07/2020,16:34,113,,36519,,0,0,0,105,media release,
NSW,12/07/2020,20:00,3303,,,1050171,85,1,0,2799,media release,
VIC,12/07/2020,11:08,3799,24,,,,,,,press conference,
WA,12/07/2020,14:27,635,,,,,,,604,media release,
ACT,13/07/2020,14:16,113,,37120,,0,0,0,105,media release,
NSW,13/07/2020,20:00,3316,,,1062503,89,1,0,2799,media release,
QLD,13/07/2020,11:39,1071,,,423911,1,0,0,1058,media release,
VIC,13/07/2020,15:13,3967,,,1148300,72,17,0,2392,media release,
WA,13/07/2020,14:23,635,,,209072,0,0,0,606,media release,
ACT,14/07/2020,13:00,113,,37443,,0,0,0,105,media release,
NSW,14/07/2020,20:00,3328,,,1080163,89,1,0,2799,media release,
VIC,14/07/2020,,4224,26,,1170352,85,26,0,2395,press conference,
WA,14/07/2020,14:16,636,,,209567,0,0,0,606,media release,
ACT,15/07/2020,14:15,113,,38572,,0,0,0,105,media release,
NSW,15/07/2020,20:00,3338,,,1102999,89,1,0,2799,media release,
VIC,15/07/2020,11:15,4448,27,,1197300,105,27,0,2488,press conference,
WA,15/07/2020,16:00,644,,,214685,0,0,0,606,media release,
ACT,16/07/2020,10:00,113,,39545,,0,0,0,105,media release,
NSW,16/07/2020,20:00,3346,,,1127466,101,1,0,2799,media release,
SA,16/07/2020,16:00,444,,,181413,0,0,0,440,media release,
VIC,16/07/2020,11:00,4750,29,,1226000,109,29,0,2591,press conference,
WA,16/07/2020,14:20,646,,,217288,0,0,0,610,media release,
NSW,17/07/2020,20:00,3361,,,1155168,105,1,0,2799,media release,
VIC,17/07/2020,11:45,5165,32,,1250000,122,31,0,2669,press conference,
WA,17/07/2020,17:00,648,,,219758,0,0,0,613,media release,
NSW,18/07/2020,20:00,3379,,,1181085,,,,2799,media release,
VIC,18/07/2020,11:00,5353,35,,1278000,110,25,0,2709,media release,
WA,18/07/2020,14:00,651,,,,0,0,0,617,media release,
ACT,19/07/2020,13:44,113,,41890,,0,,,105,media release,
NSW,19/07/2020,20:00,3399,,,1202225,96,2,1,2799,media release,
NT,19/07/2020,09:00,32,,,19655,0,0,0,30,stats page,
QLD,19/07/2020,12:00,1071,,,459139,1,,,1060,stats page,
SA,19/07/2020,,444,,,188800,0,0,0,440,stats page,
VIC,19/07/2020,,5696,38,,1305000,130,28,,2819,stats page,
WA,19/07/2020,14:18,651,,,,,,,618,media release,
ACT,20/07/2020,12:50,113,,42391,,0,0,0,107,media release,
NSW,20/07/2020,20:00,3410,,,1218155,90,2,0,2799,media release,
NT,20/07/2020,09:00,32,,,19907,1,0,0,30,https://coronavirus.nt.gov.au/current-status,
QLD,20/07/2020,14:38,1072,,,461932,2,0,0,1061,media release,
VIC,20/07/2020,14:00,5942,39,,1331000,147,31,,2933,press conference,
WA,20/07/2020,15:22,651,,,224717,1,0,0,622,media release,
ACT,21/07/2020,12:11,113,,42610,,0,0,0,107,media release,
NSW,21/07/2020,20:00,3425,,,1236620,91,2,1,2799,media release,
NT,21/07/2020,09:00,32,,,20026,1,0,0,30,https://coronavirus.nt.gov.au/current-status,
QLD,21/07/2020,17:00,1072,,,466479,2,0,0,1061,media release,
TAS,21/07/2020,18:00,229,,,61680,1,0,0,213,media release,
VIC,21/07/2020,11:00,6289,42,,1361238,174,36,,3078,press conference,
WA,21/07/2020,17:00,651,,,227546,1,0,0,625,media release,
ACT,22/07/2020,14:05,113,,43965,,0,0,0,107,media release,
NSW,22/07/2020,20:00,3444,,,1261260,94,1,1,2799,media release,
NT,22/07/2020,09:00,32,,,20348,1,0,0,30,https://coronavirus.nt.gov.au/current-status,
QLD,22/07/2020,15:26,1073,,,474333,2,0,0,1062,media release,
SA,22/07/2020,17:00,446,,,195000,0,0,0,441,media release,
TAS,22/07/2020,17:00,229,,,61680,1,0,0,213,media release,
VIC,22/07/2020,11:00,6739,44,,1385964,205,40,0,3184,press conference,
WA,22/07/2020,17:32,651,,,230402,0,0,0,626,media release,
ACT,23/07/2020,12:30,113,,45294,,0,0,0,109,media release,
NSW,23/07/2020,20:00,3451,,,1297429,96,3,1,2799,media release,
QLD,23/07/2020,12:00,1074,,,482473,2,0,0,1063,media release,
SA,23/07/2020,17:00,447,,,199500,0,0,0,441,media release,
VIC,23/07/2020,11:05,7125,49,,1413100,201,40,0,3298,media release,
WA,23/07/2020,15:30,654,,,232977,0,0,0,631,media release,
ACT,24/07/2020,13:45,113,,46102,,0,0,0,109,media release,
NSW,24/07/2020,20:00,3465,,,1327964,97,4,1,2799,media release,
QLD,24/07/2020,12:00,1076,,,489894,2,0,0,1063,media release,
VIC,24/07/2020,16:00,7405,56,,1437200,206,41,0,3450,media release,
NSW,25/07/2020,20:00,3479,,,1353103,99,4,1,,media release,
VIC,25/07/2020,12:45,7744,61,,1457546,229,42,0,3529,media release,
WA,25/07/2020,15:00,656,,,,0,0,0,642,media release,
ACT,26/07/2020,12:19,113,,,47804,0,0,0,109,media release,
VIC,26/07/2020,11:25,8181,71,,1500500,228,42,,3680,press conference,
WA,26/07/2020,14:10,658,,,,0,0,0,644,media release,
ACT,27/07/2020,11:38,113,,48127,,0,0,0,109,media release,
NSW,27/07/2020,20:00,3510,,,1391144,101,5,1,2800,media release,
VIC,27/07/2020,15:30,8696,77,,1518000,245,44,,3817,media release,
WA,27/07/2020,13:33,658,,,241439,0,0,0,647,media release,
ACT,28/07/2020,12:45,113,,48573,,0,0,0,109,media release,
NSW,28/07/2020,20:00,3529,,,1409687,100,5,1,2800,media release,
VIC,28/07/2020,11:45,9049,83,,1536600,260,45,,3937,media release,
WA,28/07/2020,15:00,659,,,243279,0,0,0,647,media release,
NSW,29/07/2020,20:00,3547,,,1436834,100,5,1,2800,media release,
QLD,29/07/2020,16:20,1079,,,518517,4,0,0,1065,media release,
VIC,29/07/2020,12:00,9304,92,,1554000,307,41,,4123,press conference,
WA,29/07/2020,13:30,661,,,246178,0,0,0,647,media release,
NSW,30/07/2020,20:00,3567,,,1462155,102,8,4,2800,media release,
QLD,30/07/2020,16:46,1082,,,526768,5,0,0,1065,media release,
SA,30/07/2020,17:00,449,,,233500,0,0,0,441,media release,
VIC,30/07/2020,11:00,9998,105,,1574600,312,34,,4259,press conference,
WA,30/07/2020,15:30,665,,,248677,0,0,0,650,media release,
NSW,31/07/2020,20:00,3567,52,,1485618,107,9,4,2800,media release,
NT,31/07/2020,16:30,33,,,24078,1,0,0,31,https://coronavirus.nt.gov.au/current-status,
QLD,31/07/2020,13:00,1083,,,535844,5,0,0,1066,media release,
SA,31/07/2020,17:00,450,,,,0,0,0,441,media release,
VIC,31/07/2020,11:00,10577,113,,1608400,349,36,,4479,media release,
WA,31/07/2020,16:30,666,,,249789,0,0,0,650,media release,
NT,01/08/2020,09:45,34,,,24538,1,0,0,31,https://coronavirus.nt.gov.au/current-status,
QLD,01/08/2020,12:00,1084,,,529547,6,0,0,1066,media release,
VIC,01/08/2020,11:30,10931,116,,1633900,379,41,24,4696,media release,
WA,01/08/2020,15:00,668,,,249789,0,0,0,624,media release,
ACT,02/08/2020,13:20,113,,,52526,0,0,0,110,media release,
NSW,02/08/2020,12:30,3595,,,1508040,107,9,4,2802,media release,
NSW,02/08/2020,20:00,3608,,,1526863,95,8,5,,media release,
QLD,02/08/2020,12:30,1085,,,560607,7,0,0,1066,media release,
SA,02/08/2020,21:00,453,,,,0,0,0,443,media release,
VIC,02/08/2020,15:06,11557,123,,,385,38,0,4915,media release,
WA,02/08/2020,14:10,641,,,249789,0,0,0,624,media release,
ACT,03/08/2020,12:16,113,,,53069,0,0,,110,media release,
NSW,03/08/2020,20:00,3620,,,1539739,110,6,5,,media release,
SA,03/08/2020,17:00,455,,,250000,0,0,0,443,media release,
VIC,03/08/2020,15:13,11937,136,,1676953,416,35,,5111,press conference,
WA,03/08/2020,13:52,641,,,257582,0,0,0,626,media release,
ACT,04/08/2020,12:29,113,,53565,,0,0,0,110,media release,
NSW,04/08/2020,20:00,3631,,,1561826,113,9,6,,media release,
SA,04/08/2020,17:00,456,,,252000,0,0,0,,media release,
VIC,04/08/2020,11:15,12335,147,,1697953,456,38,,5283,press conference,
WA,04/08/2020,15:03,641,,,259625,0,0,0,626,media release,
NSW,05/08/2020,20:00,3643,,,1589861,104,10,4,,media release,
QLD,05/08/2020,12:00,1088,,,595001,5,0,0,1069,media release,
SA,05/08/2020,17:00,456,,,258000,0,0,0,444,media release,
VIC,05/08/2020,12:00,13035,162,,,538,42,,,press conference,
WA,05/08/2020,15:00,642,,,263076,0,0,0,626,media release,
ACT,06/08/2020,11:43,113,,55115,,0,0,0,110,media release,
NSW,06/08/2020,20:00,3653,,,1617799,109,10,5,,media release,
VIC,06/08/2020,12:30,13469,170,,1746900,575,42,,5628,press conference,
WA,06/08/2020,14:19,642,,,266214,0,0,0,626,media release,
ACT,07/08/2020,11:59,113,,56106,,,,,110,media release,
NSW,07/08/2020,20:00,3662,,,1642220,107,9,6,,media release,
SA,07/08/2020,17:00,459,,,270500,0,0,0,445,media release,
VIC,07/08/2020,12:35,13867,181,,1771900,607,41,,5829,press conference,
WA,07/08/2020,14:00,642,,,268742,0,0,0,627,media release,
QLD,08/08/2020,13:00,1088,,,656876,4,0,0,1071,media release,
VIC,08/08/2020,11:15,14283,193,,1759900,636,44,,,press conference,
WA,08/08/2020,14:30,642,,,,0,0,0,628,media release,
ACT,09/08/2020,12:36,113,,,,0,0,0,110,media release,
NSW,09/08/2020,11:00,3672,,,1673901,11,8,0,,media release,
NSW,09/08/2020,20:00,3686,,,1693821,111,8,,,media release,
VIC,09/08/2020,11:45,14569,210,,1801300,634,43,0,6378,media release,
ACT,10/08/2020,13:59,113,,57534,,0,0,0,110,media release,
NSW,10/08/2020,20:00,3708,,,1707078,117,8,6,,media release,
QLD,10/08/2020,17:23,1089,,,677300,4,0,0,1072,media release,
VIC,10/08/2020,09:20,14957,228,,1820598,640,48,,6642,media release,
WA,10/08/2020,17:01,642,,,274560,0,0,0,630,media release,
ACT,11/08/2020,14:55,113,,,,0,0,,110,media release,
NSW,11/08/2020,20:00,3726,,,1727182,133,8,7,,media release,
VIC,11/08/2020,08:55,15251,246,,1854688,650,47,24,6889,media release,
WA,11/08/2020,15:06,642,,,276579,0,0,0,630,media release,
NSW,12/08/2020,20:00,3738,53,,1751803,135,7,6,,media release,
TAS,12/08/2020,17:00,230,,,74961,0,0,0,214,media release,
VIC,12/08/2020,09:00,15646,267,,1874615,662,43,25,7271,media release,
ACT,13/08/2020,12:55,113,,62424,,0,0,,110,media release,
NSW,13/08/2020,20:00,3747,,,1781498,131,6,5,,media release,
VIC,13/08/2020,09:00,15863,275,,1895566,664,37,,7493,media release,
WA,13/08/2020,13:43,644,,,283004,0,0,0,632,media release,
ACT,14/08/2020,14:16,113,,63518,,0,0,0,110,media release,
NSW,14/08/2020,20:00,3756,,,1808887,129,7,5,,media release,
QLD,14/08/2020,14:30,1092,,,716420,3,0,0,1076,media release,
VIC,14/08/2020,08:54,16234,289,,1914400,659,41,26,7842,media release,
WA,14/08/2020,14:51,645,,,285068,0,0,0,632,media release,
ACT,15/08/2020,12:24,113,,64715,,,,,110,media release,
NSW,15/08/2020,20:00,3761,54,,1832980,119,5,5,,media release,
VIC,15/08/2020,08:55,16517,293,,,,,,,DHHS Twitter,
WA,15/08/2020,14:30,646,,,,,,,632,media release,
ACT,16/08/2020,12:00,113,,64895,,,,,110,media release,
NSW,16/08/2020,20:00,3768,,,1843786,117,7,5,,media release,
NT,16/08/2020,12:30,34,,30369,,,,,34,https://coronavirus.nt.gov.au/current-status,
SA,16/08/2020,15:00,461,,,320500,0,0,0,450,media release,
VIC,16/08/2020,12:00,16764,309,,1959300,662,40,0,8570,media release,
WA,16/08/2020,14:30,646,,,,,,,633,media release,
NSW,17/08/2020,20:00,3770,,,1857522,122,7,5,,media release,
VIC,17/08/2020,08:30,17027,334,,1975000,657,44,32,9023,press conference,
WA,17/08/2020,15:00,646,,,291398,0,0,0,633,media release,
NSW,18/08/2020,20:00,3777,,,1876936,115,8,5,,media release,
VIC,18/08/2020,09:00,17238,351,,1992725,665,45,,9413,media release,
WA,18/08/2020,14:17,647,,,293292,,,,633,media release,
NSW,19/08/2020,20:00,3782,,,1905703,111,8,5,,media release,
QLD,19/08/2020,12:00,1092,,,747180,3,0,0,1079,media release,
VIC,19/08/2020,08:54,17446,363,,2008630,675,44,,9729,media release,
WA,19/08/2020,14:50,651,,,296802,0,0,0,633,media release,
NSW,20/08/2020,20:00,3783,,,1938283,111,7,6,,media release,
QLD,20/08/2020,12:00,1093,,,756977,5,0,0,1081,media release,
VIC,20/08/2020,09:30,17683,376,,2028909,622,43,28,12334,press conference,
ACT,21/08/2020,11:52,113,,69132,,0,0,0,110,media release,
NSW,21/08/2020,20:00,3792,,,1969093,97,7,5,,media release,
VIC,21/08/2020,09:00,17852,385,,2050000,626,40,25,12940,media release,
ACT,22/08/2020,12:00,113,,69804,,,,,110,media release,
NSW,22/08/2020,20:00,3796,,,1995573,90,7,5,,media release,
VIC,22/08/2020,09:31,18034,398,,,,,,,DHHS Twitter,
WA,22/08/2020,13:54,651,,,301716,,,,633,media release,
ACT,23/08/2020,11:56,113,,70134,,0,0,0,110,media release,
NSW,23/08/2020,20:00,3799,,,2016293,89,7,5,,media release,
QLD,23/08/2020,14:20,1105,,,782421,15,0,0,1082,media release,
SA,23/08/2020,17:00,463,,,349000,0,0,0,456,media release,
VIC,23/08/2020,10:10,18231,415,,2091328,585,32,,13708,media release,
WA,23/08/2020,13:10,652,,,301716,,,,634,media release,
NSW,24/08/2020,20:00,3802,54,,,84,7,4,,media release,
QLD,24/08/2020,16:00,1106,,,289255,15,0,0,1082,media release,
VIC,24/08/2020,09:16,18330,430,,2106139,629,31,17,14077,media release,
WA,24/08/2020,16:00,653,,,307797,0,0,0,635,media release,
ACT,25/08/2020,13:06,113,,71393,,,,,110,media release,
NSW,25/08/2020,20:00,3808,,,2052542,72,7,4,,media release,
VIC,25/08/2020,08:54,18464,438,,2119199,617,35,,14288,media release,
ACT,26/08/2020,12:41,113,,72344,,0,0,0,110,media release,
NSW,26/08/2020,20:00,3817,,,2082715,74,6,4,,media release,
QLD,26/08/2020,14:00,1108,,,818170,14,0,0,1083,media release,
VIC,26/08/2020,09:09,18608,462,,2132679,578,39,16,14572,media release,
WA,26/08/2020,13:18,653,,,332185,0,0,0,636,media release,
NSW,27/08/2020,20:00,3830,,,2112997,69,6,4,,media release,
VIC,27/08/2020,09:00,18714,485,,2158149,532,29,0,14837,press conference,
ACT,28/08/2020,12:00,113,,73960,,0,,,110,media release,
NSW,28/08/2020,20:00,3844,,,2137629,67,6,4,,media release,
VIC,28/08/2020,10:20,18822,496,,2178012,513,29,0,,media release,
WA,28/08/2020,14:36,655,,,337403,,,,637,media release,
NSW,29/08/2020,20:00,3851,,,2157255,66,6,3,,media release,
VIC,29/08/2020,08:29,18903,513,,2196126,482,26,,15324,DHHS Twitter,
WA,29/08/2020,15:23,655,,,,,,,637,DHHS Twitter,
NSW,30/08/2020,20:00,3861,,,2171487,66,6,4,,media release,
VIC,30/08/2020,11:00,19015,524,,2210447,472,25,,15580,media release,
WA,30/08/2020,13:30,655,,,,0,0,0,641,media release,
NSW,31/08/2020,20:00,3874,,,2186302,73,6,3,,media release,
QLD,31/08/2020,12:00,1122,,,859789,18,0,0,1084,media release,
VIC,31/08/2020,10:30,19080,565,,2224887,453,21,13,15814,press conference,
WA,31/08/2020,13:30,655,,,345214,0,0,0,641,media release,
NSW,01/09/2020,20:00,3890,,,2206385,75,5,3,,media release,
QLD,01/09/2020,13:30,1124,,,903278,18,0,0,1084,media release,
VIC,01/09/2020,09:00,19138,570,,2235040,421,20,,15967,media release,
WA,01/09/2020,13:18,655,,,348335,0,0,0,641,media release,
NSW,02/09/2020,20:00,3902,,,2235992,86,6,3,,media release,
QLD,02/09/2020,12:00,1126,,,921429,16,0,0,1084,media release,
VIC,02/09/2020,08:30,19224,576,,2248952,406,18,,16152,media release,
NSW,03/09/2020,20:00,3910,,,2259161,87,7,4,,media release,
QLD,03/09/2020,12:00,1128,,,935702,18,0,0,1086,media release,
VIC,03/09/2020,11:00,19336,591,,2331261,361,20,15,16370,media release,
NSW,04/09/2020,20:00,3915,,,2289500,94,6,4,,media release,
VIC,04/09/2020,10:00,19415,650,,2356292,329,20,0,,media release,
NSW,05/09/2020,20:00,3925,,,2328026,90,7,4,,media release,
QLD,05/09/2020,12:00,1129,,,960993,14,0,0,1089,media release,
SA,05/09/2020,17:00,464,,,397000,,,,459,media release,
VIC,05/09/2020,16:00,19479,661,,2372112,298,21,,16784,media release,
NSW,06/09/2020,20:00,3929,,,2338155,83,7,4,,media release,
QLD,06/09/2020,12:00,1131,,,967055,13,0,0,1089,media release,
VIC,06/09/2020,09:00,19538,666,,2390450,283,19,,16921,media release,
WA,06/09/2020,13:00,656,,,,,,,644,media release,
NSW,07/09/2020,20:00,3937,,,2350649,79,7,3,,media release,
QLD,07/09/2020,12:00,1133,,,971209,15,0,0,1089,media release,
VIC,07/09/2020,09:00,19574,675,,2403388,266,25,,17056,media release,
WA,07/09/2020,15:00,657,,,364864,0,0,0,644,media release,
ACT,08/09/2020,14:26,113,,84122,,0,0,0,110,media release,
NSW,08/09/2020,20:00,3946,,,2371501,88,6,3,,media release,
QLD,08/09/2020,15:10,1134,,,978869,12,,,,media release,
SA,08/09/2020,17:00,465,,,404500,,,,461,media release,
VIC,08/09/2020,08:50,19615,683,,2412092,238,22,,17175,media release,
WA,08/09/2020,15:24,658,,,368130,,,,644,media release,
NSW,09/09/2020,20:00,3953,,,2396261,86,6,4,,media release,
QLD,09/09/2020,09:45,1143,,,990944,,,,1091,media release,
VIC,09/09/2020,08:20,19688,694,,2428778,196,20,,17311,media release,
ACT,10/09/2020,12:15,113,,85667,,0,,,110,media release,
NSW,10/09/2020,20:00,3963,,,2446201,83,6,4,,media release,
VIC,10/09/2020,08:30,19728,701,,2443583,169,17,11,17484,media release,
WA,10/09/2020,14:10,659,,,375910,0,0,0,646,media release,
ACT,11/09/2020,13:00,113,,,,0,0,0,110,media release,
NSW,11/09/2020,20:00,3968,,,2466412,84,6,4,,media release,
VIC,11/09/2020,10:00,19767,710,,2456924,140,12,,17661,media release,
NSW,12/09/2020,20:00,3977,,,2480838,83,6,3,,media release,
QLD,12/09/2020,13:40,1149,,,1017965,,,,31,media release,
VIC,12/09/2020,12:50,19800,716,,2471377,126,9,0,17771,media release,
NSW,13/09/2020,20:00,3981,,,2490154,81,6,3,,media release,
VIC,13/09/2020,14:30,19835,723,,2488773,116,11,,,media release,
ACT,14/09/2020,15:36,113,,87346,,0,0,0,110,media release,
NSW,14/09/2020,20:00,3987,,,2498989,86,6,3,,media release,
VIC,14/09/2020,09:00,19872,729,,2497710,122,12,7,18006,media release,
WA,14/09/2020,14:47,659,,,384601,,,,646,media release,
ACT,15/09/2020,13:07,113,,87777,,0,0,0,110,media release,
NSW,15/09/2020,20:00,3996,,,2518555,92,5,3,,media release,
QLD,15/09/2020,12:00,1150,,,1030765,9,0,0,1111,media release,
VIC,15/09/2020,08:31,19911,,,2505513,118,11,,18079,media release,
WA,15/09/2020,13:03,659,,,387613,0,0,0,646,media release,
NSW,16/09/2020,20:00,4001,,,2538966,86,4,3,,media release,
VIC,16/09/2020,14:26,19943,737,,2520887,107,11,,18153,media release,
WA,16/09/2020,15:30,660,,,390273,0,0,0,646,media release,
ACT,17/09/2020,14:05,113,,88646,,0,,,110,media release,
NSW,17/09/2020,20:00,4007,,,2555809,,,,,media release,
VIC,17/09/2020,09:00,19970,745,,2535134,97,12,,18217,media release,
WA,17/09/2020,13:07,661,,,392908,,,,648,media release,
NSW,18/09/2020,20:48,4009,,,2571048,83,4,2,,media release,
VIC,18/09/2020,10:13,20012,750,,2551044,90,11,,18278,media release,
WA,18/09/2020,15:32,661,,,395402,,,,649,media release,
NSW,19/09/2020,20:00,4011,55,,2584683,78,2,1,,media release,
VIC,19/09/2020,14:54,20034,757,,2562996,89,8,0,18379,media release,
NSW,20/09/2020,20:00,4015,,,2592448,75,2,1,,media release,
VIC,20/09/2020,10:00,20042,761,,2575457,94,8,,,media release,
WA,20/09/2020,13:00,662,,,,0,0,0,650,media release,
ACT,21/09/2020,12:00,113,,90075,,0,0,0,110,media release,
NSW,21/09/2020,20:00,4017,,,2600064,77,3,1,,media release,
QLD,21/09/2020,12:00,1153,,,1067786,4,0,0,1124,media release,
VIC,21/09/2020,09:00,20051,763,,2582621,92,6,,18597,media release,
WA,21/09/2020,15:40,662,,,398198,,,,650,media release,
NSW,22/09/2020,21:40,4023,,,2616823,74,3,1,,media release,
VIC,22/09/2020,08:59,20076,766,,2593744,83,8,,18628,Media release,
WA,22/09/2020,16:30,665,,,402667,0,0,0,650,media release,
NSW,23/09/2020,20:00,4024,,,2634215,71,2,0,,media release,
VIC,23/09/2020,08:15,20100,771,,2609485,75,8,,18713,media release,
NSW,24/09/2020,20:00,4028,,,2647901,71,2,0,,media release,
QLD,24/09/2020,12:00,1153,,,1084841,2,0,0,1125,media release,
SA,24/09/2020,17:00,468,,,453500,0,0,0,462,media release,
VIC,24/09/2020,09:00,20105,773,,2622822,67,8,0,18738,media release,
WA,24/09/2020,19:00,668,,,407307,0,0,0,650,media release,
VIC,25/09/2020,09:00,20118,781,,2635282,58,8,0,18794,media release,
NSW,26/09/2020,11:00,4029,,,2660159,72,3,0,,media release,
NSW,26/09/2020,20:00,4029,,,2672392,,,,,media release,
