Date,NSW,VIC,QLD,SA,WA,TAS,ACT,NT,AUS
2021-04-26,574417,467331,413242,144539,199741,67613,48204,22398,1937485
2021-04-27,588050,479185,414776,145483,201378,69186,48855,22424,1969337
2021-04-28,604810,496380,427172,149640,207416,71040,50158,22928,2029544
2021-04-29,630218,516869,444065,155478,216384,73597,52062,23612,2112285
2021-04-30,649898,533674,458425,160798,223689,75483,53253,24324,2179544
2021-05-01,667243,546177,469400,165372,230229,76953,54389,25081,2234844
2021-05-02,672362,551141,472629,166950,233040,77752,55099,25101,2254074
2021-05-03,673278,553422,473522,167476,234312,77971,55483,25151,2260615
2021-05-04,691136,572577,475570,172408,242514,80652,57235,24877,2316969
2021-05-05,713270,596444,490527,177984,250715,82905,58833,25636,2396314
2021-05-06,735153,618981,505559,183785,258935,84272,60247,26597,2473529
2021-05-07,757224,643545,521357,189465,267409,86116,61710,27705,2554531
2021-05-08,778812,662073,536187,195350,275020,88403,63346,28534,2627725
2021-05-09,786154,670029,539468,197191,278690,89699,64467,28640,2654338
2021-05-10,787274,673242,541260,197811,280109,89806,65043,28676,2663221
2021-05-11,808251,695286,553579,202578,288024,91764,66950,29675,2736107
2021-05-12,833095,715055,567934,207827,295784,93872,68229,30690,2812486
2021-05-13,859246,738448,582377,214310,303284,95763,69661,31681,2894770
2021-05-14,887152,760343,596208,220148,311652,98132,71176,33454,2978265
2021-05-15,913632,780297,609461,226302,319436,100366,72695,34608,3056797
2021-05-16,926242,787964,612540,228435,323565,101590,73980,34868,3089184
2021-05-17,927464,792334,613831,229134,325733,102041,74630,34970,3100137
2021-05-18,955808,816551,626402,233985,333814,104542,76288,35934,3183324
2021-05-19,986706,841713,640931,242975,342472,108658,78050,37349,3278854
2021-05-20,1018478,866674,656156,250026,351457,110162,79948,38827,3371728
2021-05-21,1052533,893227,673729,257411,361710,112357,81821,40086,3472874
2021-05-22,1084427,914968,688793,263602,370558,115761,83411,40975,3562495
2021-05-23,1097515,924143,692941,265947,375458,118205,84715,41040,3599964
2021-05-24,1099290,929107,694306,267172,377198,119347,85307,41326,3613053
2021-05-25,1128802,940531,710577,272612,386687,121526,87738,42149,3690622
2021-05-26,1162768,971029,729107,279195,395921,124144,89373,43743,3795280
2021-05-27,1198685,1001455,749347,286668,406913,126999,91238,45363,3906668
2021-05-28,1236255,1042844,771016,294386,417672,129451,93258,46657,4031539
2021-05-29,1272007,1086302,790062,301876,428327,131958,95446,47171,4153149
2021-05-30,1287975,1113750,794643,304657,433916,134242,96535,47181,4212899
2021-05-31,1289964,1134659,795973,305878,436609,134462,97435,48620,4243600
2021-06-01,1325438,1175048,815102,313097,446840,138902,98247,50065,4362739
2021-06-02,1363217,1226224,839336,321176,457069,141919,100579,51924,4501444
2021-06-03,1403595,1276934,862848,330679,467681,144682,102566,53718,4642703
2021-06-04,1445317,1325149,889018,340080,479137,146472,105342,55847,4786362
2021-06-05,1481291,1377251,914218,349599,489985,150233,107737,57293,4927607
2021-06-06,1498063,1419616,928783,353788,495799,152832,110000,57471,5016352
2021-06-07,1500798,1462197,937001,355734,497524,154220,111193,57746,5076413
2021-06-08,1537074,1511464,959957,365055,499346,157650,114048,59383,5203977
2021-06-09,1576558,1558724,985644,375722,508994,161559,116391,61270,5344862
2021-06-10,1614475,1610071,1011863,385817,519299,164063,118740,63342,5487670
2021-06-11,1655779,1660708,1040325,398360,531912,167300,121274,65350,5641008
2021-06-12,1692108,1704590,1064777,407613,543217,170674,123772,67173,5773924
2021-06-13,1705106,1727812,1075302,411561,549862,172355,125549,67199,5834746
2021-06-14,1706311,1745247,1081007,414209,553451,172975,126820,67279,5867299
2021-06-15,1720334,1755849,1105902,416661,562670,173269,128118,68442,5931245
2021-06-16,1760768,1806942,1136578,427703,573296,177139,131278,69616,6083320
2021-06-17,1800225,1847405,1163631,437650,584444,180036,134045,71894,6219330
2021-06-18,1842016,1887523,1193777,448818,594777,183148,136444,74163,6360666
2021-06-19,1879512,1924185,1222158,458416,605006,186779,138625,76795,6491476
2021-06-20,1896789,1942567,1234729,463838,610836,189815,140324,77131,6556029
2021-06-21,1899138,1955144,1242749,467172,615336,192048,142014,77140,6590741
2021-06-22,1936373,1991642,1267076,480236,625330,195422,144087,79218,6719384
2021-06-23,1975662,2032703,1296612,490932,637360,199227,146278,81502,6860276
2021-06-24,2015389,2071004,1326479,501920,649805,202933,148226,83442,6999198
2021-06-25,2058395,2106734,1356288,513151,660353,206483,150541,85687,7137632
2021-06-26,2094275,2140468,1381602,522789,669818,208907,152787,86959,7257605
2021-06-27,2114523,2158147,1395997,528106,676108,211874,154346,87219,7326320
2021-06-28,2127175,2172874,1404194,531746,681791,213575,155749,87562,7374666
2021-06-29,2165270,2212364,1428153,540128,691433,216149,157952,89251,7500700
2021-06-30,2211280,2247466,1460704,550281,705080,219376,160469,90929,7645585
2021-07-01,2259743,2286094,1499468,561890,719784,222969,163259,93768,7806975
2021-07-02,2312628,2323557,1538031,574362,733211,226413,165985,95966,7970153
2021-07-03,2362111,2360411,1569862,585487,747312,229802,168783,97881,8121649
2021-07-04,2388405,2379795,1584163,591399,755728,232839,170991,98047,8201367
2021-07-05,2405852,2394238,1590602,595722,762393,234460,173113,99093,8255473
2021-07-06,2453560,2435641,1617964,605775,774361,237982,175783,101125,8402191
2021-07-07,2505554,2479835,1651744,617254,789098,241909,178675,103597,8567666
2021-07-08,2556204,2503939,1687906,623520,803189,244851,181034,106156,8706799
2021-07-09,2612157,2538226,1722297,640258,817334,248709,184104,108487,8871572
2021-07-10,2663160,2570140,1752258,650393,830225,251353,186684,109859,9014072
2021-07-11,2692223,2590328,1766217,656446,839282,253951,189110,110412,9097969
2021-07-12,2708148,2605120,1772830,660535,845675,256089,191006,110414,9149817
2021-07-13,2763146,2645161,1800895,670656,857559,259588,194030,112991,9304026
2021-07-14,2826601,2677576,1835564,682153,872330,262737,197016,115168,9469145
2021-07-15,2885109,2713151,1868999,694463,886969,265908,199653,117555,9631807
2021-07-16,2951810,2750741,1904850,705922,901260,269522,202473,120231,9806809
2021-07-17,3014454,2789969,1933767,717255,914883,273000,205229,122189,9970746
2021-07-18,3051027,2814826,1948665,723668,923826,275697,207393,122344,10067446
2021-07-19,3071491,2831570,1954201,728716,930764,277290,208763,122738,10125533
2021-07-20,3136532,2877099,1979964,738647,944336,281650,212475,124741,10295444
2021-07-21,3203383,2914350,2013169,751296,960030,285057,215416,127332,10470033
2021-07-22,3268288,2960809,2045305,765579,977421,288545,218972,129644,10654563
2021-07-23,3343940,3008312,2078672,779059,994076,292616,222603,131715,10850993
2021-07-24,3414132,3052491,2109763,792104,1009365,296597,226124,132259,11032835
2021-07-25,3454832,3080933,2124211,799665,1019270,299229,229226,133145,11140511
2021-07-26,3478281,3102461,2131097,805033,1028145,301471,231454,133505,11211447
2021-07-27,3549677,3150802,2158284,816929,1044612,305117,235789,135574,11396784
2021-07-28,3626604,3193925,2192459,830905,1063108,309408,239611,137746,11593766
2021-07-29,3705923,3237528,2227195,844675,1083196,313063,243279,140377,11795236
2021-07-30,3789560,3283466,2262980,858606,1103588,317688,247173,142917,12005978
2021-07-31,3871780,3328746,2296677,871282,1121991,319801,250901,145506,12206684
2021-08-01,3917611,3357034,2310240,877541,1133761,320995,254426,146119,12317727
2021-08-02,3943499,3376541,2318381,881935,1143288,326483,257403,146363,12393893
2021-08-03,4028122,3421777,2353085,894547,1159230,329781,261094,146815,12594451
2021-08-04,4112667,3463544,2397360,907933,1178096,334710,264881,149207,12808398
2021-08-05,4196287,3509483,2444845,923067,1197753,337499,268931,152392,13030257
2021-08-06,4289913,3558221,2494802,936641,1219325,342993,272817,155584,13270296
2021-08-07,4379412,3608336,2540849,949738,1238682,344523,277030,157785,13496355
2021-08-08,4437729,3640779,2563018,958065,1251862,345908,280057,159162,13636580
2021-08-09,4463212,3666004,2574040,963579,1261320,351907,283635,159449,13723146
2021-08-10,4561456,3723540,2611978,976374,1279264,356270,287448,161715,13958045
2021-08-11,4668048,3779009,2659429,991636,1299320,360965,291384,164218,14214009
2021-08-12,4773112,3840615,2706120,1007035,1321442,365219,295652,167128,14476323
2021-08-13,4879443,3904881,2754935,1023217,1343902,371155,299852,169836,14747221
2021-08-14,4985038,3970074,2801356,1037534,1365306,375422,304831,172462,15012023
2021-08-15,5050672,4012922,2826160,1045604,1379349,378739,308904,172849,15175199
2021-08-16,5170324,3981941,2837758,1040250,1394495,379599,356518,178041,15338926
2021-08-17,5276446,4061751,2876133,1054392,1419617,383701,366464,179887,15618391
2021-08-18,5385996,4125491,2921725,1070054,1443442,388483,374592,182477,15892260
2021-08-19,5518435,4194225,2971842,1087147,1472445,393152,378117,185907,16201270
2021-08-20,5639016,4264873,3019057,1103513,1500949,398951,388930,189285,16504574
2021-08-21,5766280,4335571,3070343,1120467,1526517,403462,400285,192173,16815098
2021-08-22,5845663,4385028,3101250,1130060,1545499,407406,402639,193554,17011099
2021-08-23,5905429,4420162,3120611,1135674,1561013,409540,404130,194095,17150654
2021-08-24,6030074,4488144,3156625,1150816,1585766,414063,419300,195808,17440596
2021-08-25,6160858,4562243,3203908,1167534,1613472,419038,422541,198193,17747787
2021-08-26,6303835,4641562,3256849,1185898,1640419,424531,429092,201021,18083207
2021-08-27,6442295,4692544,3311638,1203284,1668046,430077,438531,203882,18390297
2021-08-28,6580989,4766482,3358948,1220040,1696090,435371,442582,206125,18706627
2021-08-29,6649399,4852288,3389617,1229848,1713949,440085,444582,207545,18927313
