Date,NSW,VIC,QLD,SA,WA,TAS,ACT,NT,AUS
2021-02-24,3200,1255,527,405,800,383,250,88,6908
2021-02-25,5500,2063,942,743,1241,807,524,88,17500
2021-02-26,7500,2902,1377,1053,1654,1159,778,581,25000
2021-02-27,7500,3613,2030,1371,2299,1159,980,581,30000
2021-02-28,7500,3762,2030,1481,2584,1159,980,581,31894
2021-03-01,10339,3862,2030,1630,2879,1165,978,748,33702
2021-03-02,12424,5020,3010,1920,2862,1165,1173,985,41907
2021-03-03,14600,6676,4212,2326,3519,1500,1319,1238,50840
2021-03-04,16805,8645,5409,2682,4346,1970,1563,1588,61008
2021-03-05,19894,10907,6534,3062,5546,2327,1757,1840,71867
2021-03-06,19894,12851,8008,3455,6616,2327,1949,1840,76940
2021-03-07,19894,13578,8300,3585,6872,2327,1949,1840,81345
2021-03-08,21763,14422,8300,3705,7840,2327,1951,2066,86369
2021-03-09,23923,15494,10092,3824,9289,2327,2157,2349,94908
2021-03-10,27000,18325,11996,4274,11373,2713,2382,2684,106200
2021-03-11,31313,22317,13989,4871,13498,3255,2687,3070,125000
2021-03-12,31313,25948,16120,5822,15952,3661,3025,3262,135103
2021-03-13,36820,30298,18411,6590,17692,3667,3363,3519,159294
2021-03-14,36820,31202,18705,7124,18391,3667,3363,3519,162551
2021-03-15,37553,31808,18705,7272,18948,3853,3363,3519,164781
2021-03-16,41444,35282,21861,8300,20550,4616,3869,3715,182437
2021-03-17,46820,38948,25173,9831,22944,5765,4373,4096,203557
2021-03-18,51607,42989,28533,11362,25503,6715,4875,4473,226057
2021-03-19,51607,47731,32527,12961,28134,7631,5379,4784,240754
2021-03-20,51607,52283,36704,14051,30571,7631,5901,5083,253831
2021-03-21,51607,53681,36825,14365,31512,8045,5901,5083,257019
2021-03-22,64884,55023,37002,14916,32115,8267,6536,5083,282184
2021-03-23,72943,59509,40870,16239,34504,8843,6984,5371,307525
2021-03-24,72943,63894,45068,17751,36690,9854,7513,5679,355254
2021-03-25,72943,69592,49462,19255,39259,11007,8035,6186,408410
2021-03-26,89196,75626,53893,20832,41665,11728,8563,6578,460155
2021-03-27,96273,80698,58439,22272,44048,11728,9096,6911,506465
2021-03-28,96273,84210,58930,22497,44542,11728,9429,6911,511520
2021-03-29,96273,86282,59126,22787,45091,13091,9746,7027,541761
2021-03-30,100000,92765,65129,24145,47701,13750,10281,7364,597523
2021-03-31,100000,99065,71942,25535,50731,15077,10819,7789,670349
2021-04-01,117400,107522,79534,27023,53482,15077,11361,8277,744328
2021-04-02,124356,115077,87220,28337,56337,15077,11361,8647,823611
2021-04-03,125195,115987,88248,28614,56649,15077,12430,8647,828416
2021-04-04,126494,116234,88282,28759,56872,17511,12778,8647,843182
2021-04-05,126526,116677,88282,28933,57018,17511,13110,8647,844309
2021-04-06,127339,117700,89350,29355,57464,17511,13774,8717,854983
2021-04-07,134323,123759,94762,30735,59765,17511,14445,9028,920334
2021-04-08,140551,129537,100298,32635,62297,19750,15134,9600,996145
2021-04-09,316187,261050,222884,80497,113531,40196,29049,14117,1077511
2021-04-10,335270,274306,235734,86580,118673,42988,30349,14966,1138866
2021-04-11,342315,281714,240995,88589,121718,44886,31351,15000,1166568
2021-04-12,344318,285242,243254,89762,122772,45555,32373,15026,1178302
2021-04-13,361906,298336,254740,94304,128591,47368,33757,15679,1234681
2021-04-14,382687,312718,266103,99037,134000,49681,34968,16478,1295672
2021-04-15,403138,327299,279116,105120,139686,51814,36295,17197,1359665
2021-04-16,422480,341481,291966,110105,145210,54085,37438,17812,1420577
2021-04-17,440396,354490,302123,114532,150316,55655,38486,18560,1474558
2021-04-18,447239,359773,305707,116268,152938,56765,39615,18607,1496912
2021-04-19,468824,378550,340554,119102,163999,56800,39983,18744,1586556
2021-04-20,488757,395255,353927,124380,171221,58706,41716,19324,1653286
2021-04-21,509499,410329,367092,129219,177991,60820,43179,19978,1718107
2021-04-22,530531,427266,380702,134182,184432,63004,44394,20827,1785338
2021-04-23,550342,446451,396676,139034,190610,65305,45442,21741,1855601
2021-04-24,568181,459846,409564,143378,197179,66721,46787,22391,1914047
2021-04-25,573892,466222,412925,144254,199223,67462,47701,22398,1934077
