"Date","Overseas","Known Local","Unknown Local (Community)","Interstate travel","Under investigation"
"28/03/2020","477","87","22","0","39"
"29/03/2020","477","87","22","0","39"
"30/03/2020","548","97","20","3","21"
"31/03/2020","599","107","27","5","5"
"01/04/2020","617","115","27","7","15"
"02/04/2020","654","125","30","9","17"
"03/04/2020","669","124","31","11","38"
"04/04/2020","707","136","31","12","15"
"05/04/2020","707","140","32","12","16"
"06/04/2020","724","149","33","13","2"
"07/04/2020","724","149","33","13","15"
"08/04/2020","724","149","33","13","24"
"09/04/2020","737","151","32","12","21"
"10/04/2020","744","153","33","12","23"
"11/04/2020","745","154","36","13","26"
"12/04/2020","748","156","39","14","26"
"13/04/2020","752","155","39","13","28"
"14/04/2020","756","155","38","15","34"
"15/04/2020","761","160","39","18","21"
"16/04/2020","761","160","39","18","23"
"17/04/2020","769","171","36","17","14"
"18/04/2020","774","168","36","16","20"
"19/04/2020","778","169","40","15","17"
"20/04/2020","784","169","41","17","8"
"21/04/2020","785","169","41","17","12"
"22/04/2020","785","170","42","17","10"
"23/04/2020","788","171","41","17","9"
"24/04/2020","793","171","41","18","3"
"25/04/2020","793","171","41","18","3"
"26/04/2020","794","172","43","18","3"
"27/04/2020","795","172","43","18","5"
"28/04/2020","798","173","42","18","2"
"29/04/2020","798","173","42","18","3"
"30/04/2020","799","173","43","18","0"
"01/05/2020","799","173","43","18","0"
"02/05/2020","799","173","43","18","1"
"03/05/2020","798","174","43","18","2"
"04/05/2020","799","174","44","18","3"
"05/05/2020","799","174","44","18","8"
"06/05/2020","799","174","45","18","7"
"07/05/2020","801","174","45","18","7"
"08/05/2020","802","174","45","18","6"
"09/05/2020","802","174","45","18","6"
"10/05/2020","802","173","44","18","8"
"11/05/2020","802","173","44","18","8"
"12/05/2020","808","172","44","18","9"
"13/05/2020","812","174","44","18","3"
"14/05/2020","814","175","43","18","2"
"15/05/2020","814","175","43","18","4"
"16/05/2020","817","176","42","18","2"
"17/05/2020","818","176","42","18","1"
"18/05/2020","818","176","42","18","3"
"19/05/2020","821","175","42","18","1"
"20/05/2020","821","176","41","18","2"
"21/05/2020","821","176","41","18","2"
"22/05/2020","821","176","41","18","2"
"23/05/2020","821","176","41","18","3"
"24/05/2020","823","176","41","18","3"
"25/05/2020","819","176","41","18","2"
"26/05/2020","819","176","41","18","3"
"27/05/2020","819","176","41","18","4"
"28/05/2020","819","176","41","18","4"
"29/05/2020","819","176","41","18","4"
"30/05/2020","819","176","41","18","4"
"31/05/2020","819","176","41","18","4"
"01/06/2020","819","176","41","18","4"
"02/06/2020","821","176","41","18","3"
"03/06/2020","822","176","41","18","2"
"04/06/2020","823","176","43","18","0"
"05/06/2020","823","178","42","17","0"
"06/06/2020","823","179","42","17","0"
"07/06/2020","823","180","42","17","0"
"08/06/2020","824","179","42","17","0"
"09/06/2020","824","179","42","17","0"
"10/06/2020","824","179","42","17","0"
"11/06/2020","825","179","42","17","0"
"12/06/2020","825","179","42","17","1"
"13/06/2020","825","179","42","17","2"
"14/06/2020","825","180","42","17","1"
"15/06/2020","825","180","42","17","1"
"16/06/2020","826","180","42","17","0"
"17/06/2020","827","180","42","17","0"
